#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	TSL	APPRIS	SIFT	PolyPhen	AF	AFR_AF	AMR_AF	EAS_AF	EUR_AF	SAS_AF	AA_AF	EA_AF	gnomAD_AF	gnomAD_AFR_AF	gnomAD_AMR_AF	gnomAD_ASJ_AF	gnomAD_EAS_AF	gnomAD_FIN_AF	gnomAD_NFE_AF	gnomAD_OTH_AF	gnomAD_SAS_AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE
rs149217901	22:19435962-19435964	-	splice_acceptor_variant,non_coding_transcript_variant	HIGH	AC000068.5	ENSG00000185065	Transcript	ENST00000431090	antisense	-	1/1	-	-	-	-	-	-	-	rs149217901	-	1	-	Clone_based_vega_gene	-	-	-	-	-	0.1262	0.0151	0.1095	0.2143	0.1839	0.138	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs5845253	22:36587845-36587845	CT	frameshift_variant	HIGH	APOL4	ENSG00000100336	Transcript	ENST00000405511	protein_coding	6/6	-	-	-	745-746	322-323	108	V/EX	gtt/gAGtt	rs5845253	-	-1	-	HGNC	14867	-	-	-	-	0.6757	0.8321	0.5447	0.8244	0.496	0.589	0.7733	0.5041	0.5551	0.7738	0.5596	0.4862	0.834	0.5548	0.488	0.5358	0.5546	-	-	-	-	-	-	-	-
rs5845253	22:36587845-36587845	CT	frameshift_variant	HIGH	APOL4	ENSG00000100336	Transcript	ENST00000429038	protein_coding	5/5	-	-	-	822-823	322-323	108	V/EX	gtt/gAGtt	rs5845253	-	-1	-	HGNC	14867	-	-	-	-	0.6757	0.8321	0.5447	0.8244	0.496	0.589	0.7733	0.5041	0.5551	0.7738	0.5596	0.4862	0.834	0.5548	0.488	0.5358	0.5546	-	-	-	-	-	-	-	-
rs2071710	22:37603021-37603021	T	stop_gained	HIGH	SSTR3	ENSG00000183473	Transcript	ENST00000328544	protein_coding	2/2	-	-	-	1356	822	274	Y/*	taC/taA	rs2071710	-	-1	-	HGNC	11332	-	-	-	-	-	-	-	-	-	-	-	-	4.07e-06	0	0	0	0	0	0	0	3.249e-05	-	-	-	-	-	-	-	-
rs2071710	22:37603021-37603021	T	stop_gained	HIGH	SSTR3	ENSG00000183473	Transcript	ENST00000402501	protein_coding	2/2	-	-	-	1279	822	274	Y/*	taC/taA	rs2071710	-	-1	-	HGNC	11332	-	-	-	-	-	-	-	-	-	-	-	-	4.07e-06	0	0	0	0	0	0	0	3.249e-05	-	-	-	-	-	-	-	-
rs5758511	22:42336172-42336172	A	stop_gained	HIGH	CENPM	ENSG00000100162	Transcript	ENST00000472374	protein_coding	1/2	-	-	-	52	7	3	R/*	Cga/Tga	rs5758511	-	-1	-	HGNC	18352	-	-	-	-	0.2392	0.0265	0.2147	0.5575	0.2664	0.1881	0.05804	0.2822	0.2614	0.05505	0.1763	0.3164	0.5524	0.2537	0.2811	0.2515	0.2075	-	-	1	27618304,27014279,23202124,16391015	-	-	-	-
rs3892097	22:42524947-42524947	T	splice_acceptor_variant	HIGH	CYP2D6	ENSG00000100197	Transcript	ENST00000359033	protein_coding	-	2/7	-	-	-	-	-	-	-	rs3892097,CS900241	-	-1	-	HGNC	2625	-	-	-	-	0.0931	0.0605	0.1297	0.002	0.1859	0.1094	0.07285	0.1907	0.1384	0.08399	0.111	0.1821	0.002952	0.09801	0.1969	0.1455	0.1029	drug_response,other	-	1,1	21289622,24944790,18547414,24151610,26785747,26858644,20459744,20847277,22992668,23775025,22479249,25419701,23133420,24701578,26942037,20921971,22482072,27529241,21712189,21480951,21790905,21840870,22688145,23130019,23985325,24868171,26369774,26793106,27108086,27636550,27738374,27785397,24779372,19537956,20435227,22448283,27171561,22111602,21152250,21750172,22183189,2211621,20174590,20548328,27467145,27536078,27942231,18086475,1346258,1978251,1978565,7574463,8181196,8867869,9585799,9918137,10460069,11682257,12360109,14520122,14646691,14716707,15115913,15205367,15252821,16024198,16361630,16871470,17008819,17244352,17667959,17721180,17764479,18024866,18070221,18359183,19809024,20531370,20849243,21614669,22389859,22638694,23226064,24193112,25047911,19833260,24357089,22395644,24433464,28018217,25431893,23651022,25788121,23565321,27984508,27695358,22718526,26602992,25049040,22395643,27641154,23303597,28046094,28039163,26394652,18632250,18374504,20601196,20889555,20656020,16472919,20185366,19022265	-	-	-	-
rs3892097	22:42524947-42524947	T	splice_acceptor_variant,NMD_transcript_variant	HIGH	CYP2D6	ENSG00000100197	Transcript	ENST00000360124	nonsense_mediated_decay	-	1/6	-	-	-	-	-	-	-	rs3892097,CS900241	-	-1	cds_start_NF	HGNC	2625	-	-	-	-	0.0931	0.0605	0.1297	0.002	0.1859	0.1094	0.07285	0.1907	0.1384	0.08399	0.111	0.1821	0.002952	0.09801	0.1969	0.1455	0.1029	drug_response,other	-	1,1	21289622,24944790,18547414,24151610,26785747,26858644,20459744,20847277,22992668,23775025,22479249,25419701,23133420,24701578,26942037,20921971,22482072,27529241,21712189,21480951,21790905,21840870,22688145,23130019,23985325,24868171,26369774,26793106,27108086,27636550,27738374,27785397,24779372,19537956,20435227,22448283,27171561,22111602,21152250,21750172,22183189,2211621,20174590,20548328,27467145,27536078,27942231,18086475,1346258,1978251,1978565,7574463,8181196,8867869,9585799,9918137,10460069,11682257,12360109,14520122,14646691,14716707,15115913,15205367,15252821,16024198,16361630,16871470,17008819,17244352,17667959,17721180,17764479,18024866,18070221,18359183,19809024,20531370,20849243,21614669,22389859,22638694,23226064,24193112,25047911,19833260,24357089,22395644,24433464,28018217,25431893,23651022,25788121,23565321,27984508,27695358,22718526,26602992,25049040,22395643,27641154,23303597,28046094,28039163,26394652,18632250,18374504,20601196,20889555,20656020,16472919,20185366,19022265	-	-	-	-
rs3892097	22:42524947-42524947	T	splice_acceptor_variant	HIGH	CYP2D6	ENSG00000100197	Transcript	ENST00000360608	protein_coding	-	3/8	-	-	-	-	-	-	-	rs3892097,CS900241	-	-1	-	HGNC	2625	-	-	-	-	0.0931	0.0605	0.1297	0.002	0.1859	0.1094	0.07285	0.1907	0.1384	0.08399	0.111	0.1821	0.002952	0.09801	0.1969	0.1455	0.1029	drug_response,other	-	1,1	21289622,24944790,18547414,24151610,26785747,26858644,20459744,20847277,22992668,23775025,22479249,25419701,23133420,24701578,26942037,20921971,22482072,27529241,21712189,21480951,21790905,21840870,22688145,23130019,23985325,24868171,26369774,26793106,27108086,27636550,27738374,27785397,24779372,19537956,20435227,22448283,27171561,22111602,21152250,21750172,22183189,2211621,20174590,20548328,27467145,27536078,27942231,18086475,1346258,1978251,1978565,7574463,8181196,8867869,9585799,9918137,10460069,11682257,12360109,14520122,14646691,14716707,15115913,15205367,15252821,16024198,16361630,16871470,17008819,17244352,17667959,17721180,17764479,18024866,18070221,18359183,19809024,20531370,20849243,21614669,22389859,22638694,23226064,24193112,25047911,19833260,24357089,22395644,24433464,28018217,25431893,23651022,25788121,23565321,27984508,27695358,22718526,26602992,25049040,22395643,27641154,23303597,28046094,28039163,26394652,18632250,18374504,20601196,20889555,20656020,16472919,20185366,19022265	-	-	-	-
rs3892097	22:42524947-42524947	T	splice_acceptor_variant	HIGH	CYP2D6	ENSG00000100197	Transcript	ENST00000389970	protein_coding	-	4/9	-	-	-	-	-	-	-	rs3892097,CS900241	-	-1	-	HGNC	2625	-	-	-	-	0.0931	0.0605	0.1297	0.002	0.1859	0.1094	0.07285	0.1907	0.1384	0.08399	0.111	0.1821	0.002952	0.09801	0.1969	0.1455	0.1029	drug_response,other	-	1,1	21289622,24944790,18547414,24151610,26785747,26858644,20459744,20847277,22992668,23775025,22479249,25419701,23133420,24701578,26942037,20921971,22482072,27529241,21712189,21480951,21790905,21840870,22688145,23130019,23985325,24868171,26369774,26793106,27108086,27636550,27738374,27785397,24779372,19537956,20435227,22448283,27171561,22111602,21152250,21750172,22183189,2211621,20174590,20548328,27467145,27536078,27942231,18086475,1346258,1978251,1978565,7574463,8181196,8867869,9585799,9918137,10460069,11682257,12360109,14520122,14646691,14716707,15115913,15205367,15252821,16024198,16361630,16871470,17008819,17244352,17667959,17721180,17764479,18024866,18070221,18359183,19809024,20531370,20849243,21614669,22389859,22638694,23226064,24193112,25047911,19833260,24357089,22395644,24433464,28018217,25431893,23651022,25788121,23565321,27984508,27695358,22718526,26602992,25049040,22395643,27641154,23303597,28046094,28039163,26394652,18632250,18374504,20601196,20889555,20656020,16472919,20185366,19022265	-	-	-	-
rs3892097	22:42524947-42524947	T	splice_acceptor_variant,non_coding_transcript_variant	HIGH	CYP2D6	ENSG00000100197	Transcript	ENST00000488442	retained_intron	-	2/7	-	-	-	-	-	-	-	rs3892097,CS900241	-	-1	-	HGNC	2625	-	-	-	-	0.0931	0.0605	0.1297	0.002	0.1859	0.1094	0.07285	0.1907	0.1384	0.08399	0.111	0.1821	0.002952	0.09801	0.1969	0.1455	0.1029	drug_response,other	-	1,1	21289622,24944790,18547414,24151610,26785747,26858644,20459744,20847277,22992668,23775025,22479249,25419701,23133420,24701578,26942037,20921971,22482072,27529241,21712189,21480951,21790905,21840870,22688145,23130019,23985325,24868171,26369774,26793106,27108086,27636550,27738374,27785397,24779372,19537956,20435227,22448283,27171561,22111602,21152250,21750172,22183189,2211621,20174590,20548328,27467145,27536078,27942231,18086475,1346258,1978251,1978565,7574463,8181196,8867869,9585799,9918137,10460069,11682257,12360109,14520122,14646691,14716707,15115913,15205367,15252821,16024198,16361630,16871470,17008819,17244352,17667959,17721180,17764479,18024866,18070221,18359183,19809024,20531370,20849243,21614669,22389859,22638694,23226064,24193112,25047911,19833260,24357089,22395644,24433464,28018217,25431893,23651022,25788121,23565321,27984508,27695358,22718526,26602992,25049040,22395643,27641154,23303597,28046094,28039163,26394652,18632250,18374504,20601196,20889555,20656020,16472919,20185366,19022265	-	-	-	-
rs2743456	22:42536313-42536313	A	stop_gained	HIGH	CYP2D7P	ENSG00000205702	Transcript	ENST00000358097	polymorphic_pseudogene	9/9	-	-	-	1556	1471	491	R/*	Cga/Tga	-	-	-1	-	HGNC	2624	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs2743456	22:42536313-42536313	A	stop_gained	HIGH	CYP2D7P	ENSG00000205702	Transcript	ENST00000433992	polymorphic_pseudogene	9/9	-	-	-	1639	1528	510	R/*	Cga/Tga	-	-	-1	-	HGNC	2624	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
